27,Gunung Sitoli - Nias,Gunung Sitoli - Nias,1,2,1.29070737,97.62149417,0,0000-00-00 00:00:00,1,2015-12-22 00:21:48,15
28,Teluk Dalam - Nias,Teluk Dalam - Nias,1,2,0.55971626,97.82600959,0,0000-00-00 00:00:00,1,2015-12-22 00:21:50,15
30,Lahewa - Nias Utara,Lahewa - Nias Utara,1,2,1.40522421,97.17642432,0,0000-00-00 00:00:00,1,2015-12-22 00:21:51,15
31,Pulau Tello - Kep. Nias,Pulau Tello - Kep. Nias,1,2,-0.05499797,98.28609630,0,0000-00-00 00:00:00,1,2015-12-22 00:21:40,15
34,PULAU KAMPAI,PULAU KAMPAI,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:52:39,1
35,TANJUNG PURA,TANJUNG PURA,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:39:19,1
36,BARUS,BARUS,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:39:16,1
37,SEI BEROMBANG,SEI BEROMBANG,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:39:14,1
38,TANJUNG SARANG ELANG,TANJUNG SARANG ELANG,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:39:11,1
39,LEIDONG,LEIDONG,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 13:39:26,1
40,Tanjung Tiram,Tanjung Tiram,1,2,3.22573400,99.58317000,0,0000-00-00 00:00:00,1,2015-11-28 11:41:46,1
41,Pangkalan Dodek,Pangkalan Dodek,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 14:02:14,1
42,Pantai Cermin,Pantai Cermin,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 14:01:13,1
43,Pangkalan Susu,Pangkalan Susu,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 14:01:25,1
44,Belawan-A,Belawan-A,1,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-08-06 14:01:40,1
45,Belawan International Container Terminal,Belawan International Container Terminal,1,2,3.79317415,98.71662140,0,0000-00-00 00:00:00,1,2015-12-01 12:27:28,1
46,Terminal Peti Kemas Domestik Belawan,Terminal Peti Kemas Domestik Belawan,1,2,3.79058346,98.71385336,0,0000-00-00 00:00:00,1,2015-11-28 11:41:02,1
47,Tanjung Balai Asahan,Tanjung Balai Asahan,1,2,2.99927100,99.81489000,0,0000-00-00 00:00:00,1,2015-11-28 11:41:43,1
48,Dumai,Dumai,1,2,1.68722220,101.46169444,0,0000-00-00 00:00:00,1,2015-12-01 12:23:20,1
49,Sungai Pakning - Bengkalis,Sungai Pakning - Bengkalis,1,2,1.37767337,102.14802806,0,0000-00-00 00:00:00,1,2015-11-28 11:41:27,1
51,SIKABULUAN,SIKABULUAN,2,2,-1.11709600,99.00597900,0,0000-00-00 00:00:00,1,2016-01-13 10:16:41,17
52,Muara Siberut,Muara Siberut,2,2,-1.59697600,99.21568600,0,0000-00-00 00:00:00,1,2016-01-13 10:16:43,1
53,Sikakap,Sikakap,2,2,-2.77721500,100.21515300,0,0000-00-00 00:00:00,1,2016-01-13 10:16:46,1
54,Pulau Baai,Pulau Baai,2,2,-3.89357574,102.27527057,0,0000-00-00 00:00:00,1,2017-05-06 19:47:00,15
55,Melakoni Enggano,Melakoni Enggano,2,2,-5.43066555,102.38183954,0,0000-00-00 00:00:00,1,2017-05-06 19:47:11,15
61,TANJUNG PINANG,TANJUNG PINANG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:38,1
62,Tanjung Balai Karimun,Tanjung Balai Karimun,5,2,0.98830100,103.43625500,0,0000-00-00 00:00:00,1,2015-12-08 13:47:18,1
63,PEKAN BARU,PEKAN BARU,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:12,1
64,TEMBILAHAN,TEMBILAHAN,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:15,1
65,BAGAN SIAPI-API,BAGAN SIAPI-API,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:18,1
66,BENGKALIS,BENGKALIS,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:20,1
67,SELAT PANJANG,SELAT PANJANG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:22,1
68,KUALA ENOK,KUALA ENOK,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:24,1
69,Pelabuhan Sungai Duku - Pekanbaru,Pelabuhan Sungai Duku - Pekanbaru,5,2,0.53885370,101.44561090,0,0000-00-00 00:00:00,1,2015-12-02 08:31:34,1
70,SENAYANG,SENAYANG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:27,1
71,KUALA GAUNG,KUALA GAUNG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:30:12,1
72,SINABOI,SINABOI,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:30:10,1
73,Tanjung Medang - Bengkalis,Tanjung Medang - Bengkalis,5,2,2.11122100,101.62697100,0,0000-00-00 00:00:00,1,2015-12-02 08:31:28,1
74,PANIPAHAN,PANIPAHAN,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:30:06,1
75,BATU PANJANG,BATU PANJANG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:30:00,1
76,SUNGAI GUNTUNG,SUNGAI GUNTUNG,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:29:57,1
77,PULAU SAMBU,PULAU SAMBU,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 19:42:18,1
78,Tanjung Uban,Tanjung Uban,5,2,1.06164700,104.21921900,0,0000-00-00 00:00:00,1,2015-12-02 08:31:46,1
79,BATAM,BATAM,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-30 18:34:31,1
80,TANJUNG BATU,TANJUNG BATU,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:27:58,1
81,DABO SINGKEP,DABO SINGKEP,5,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-11-05 20:25:10,1
82,Harbour Bay - Batam,Harbour Bay - Batam,5,2,1.15365576,103.99702308,1,0000-00-00 00:00:00,1,2017-11-22 10:16:05,15
83,Pelabuhan Ferry Batu Ampar - Batam,Pelabuhan Ferry Batu Ampar - Batam,5,2,1.16285073,103.99759178,0,0000-00-00 00:00:00,1,2015-12-08 13:47:03,15
84,Sekupang - Batam,Sekupang - Batam,5,2,1.12440269,103.92746488,1,0000-00-00 00:00:00,1,2017-07-06 12:40:15,15
85,Tarempa - Kep. Anambas,Tarempa - Kep. Anambas,4,2,3.22617848,106.21683581,1,0000-00-00 00:00:00,1,2015-12-05 17:22:37,15
87,TELUK AIR,TELUK AIR,4,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-03 14:04:06,1
88,Sintete - Sambas,Sintete - Sambas,4,2,1.19833100,109.05446200,1,0000-00-00 00:00:00,1,2017-07-12 11:01:14,15
89,Sukabangun - Ketapang,Sukabangun - Ketapang,4,2,-1.79277200,109.95820100,1,0000-00-00 00:00:00,1,2017-07-12 10:59:52,15
90,PALOH/SEKURA,PALOH/SEKURA,4,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-03 14:04:15,1
91,TELUK MALANO,TELUK MALANO,4,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-03 14:04:17,1
92,Kendawangan,Kendawangan,4,2,-2.53153500,110.21588000,1,0000-00-00 00:00:00,1,2017-02-21 12:24:20,15
93,Boom Baru - Palembang,Boom Baru - Palembang,6,2,-2.98139700,104.77927800,0,0000-00-00 00:00:00,1,2015-12-04 20:55:38,15
94,SUNGAI LUMPUR,SUNGAI LUMPUR,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:40,15
95,Pangkal Balam - Bangka,Pangkal Balam - Bangka,6,2,-2.09722800,106.13118100,0,0000-00-00 00:00:00,1,2015-12-04 20:55:42,15
96,Muntok - Bangka,Muntok - Bangka,6,2,-2.08629743,105.13202002,0,0000-00-00 00:00:00,1,2015-12-04 20:55:45,15
97,MANGGAR,MANGGAR,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:47,15
98,TOBOALI,TOBOALI,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:34,15
99,Tanjung Pandan,Tanjung Pandan,6,2,-2.74607200,107.62846100,1,0000-00-00 00:00:00,1,2016-09-15 12:40:21,15
101,Sunda Kelapa - DKI Jakarta,Sunda Kelapa - DKI Jakarta,6,2,-6.11664888,106.80830956,1,0000-00-00 00:00:00,1,2016-04-28 10:32:46,15
102,Marunda - DKI Jakarta,Marunda - DKI Jakarta,6,2,-6.09331454,106.95871257,1,0000-00-00 00:00:00,1,2016-04-28 10:39:52,15
103,Pulau Pramuka - Kepulauan Seribu - DKI Jakarta,Pulau Pramuka - Kepulauan Seribu - DKI Jakarta,6,2,-5.74754260,106.61855323,0,0000-00-00 00:00:00,1,2017-12-30 17:05:45,1
104,Kalibaru - DKI Jakarta,Kalibaru - DKI Jakarta,6,2,-6.09908809,106.91655602,1,0000-00-00 00:00:00,1,2016-08-30 18:56:43,15
105,Kali Adem - Muara Angke - DKI Jakarta,Kali Adem - Muara Angke - DKI Jakarta,6,2,-6.10265793,106.77192271,1,0000-00-00 00:00:00,1,2016-04-28 10:42:55,15
106,PPS Nizam Zachman Muara Baru - DKI Jakarta,PPS Nizam Zachman Muara Baru - DKI Jakarta,6,6,-6.10004959,106.80178433,1,0000-00-00 00:00:00,1,2016-08-30 18:36:07,15
107,Cirebon,Cirebon,6,2,-6.71162106,108.56879081,1,0000-00-00 00:00:00,1,2016-09-08 23:48:23,15
108,PANGANDARAN,PANGANDARAN,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:11,1
109,Pelabuhan Ratu,Pelabuhan Ratu,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:08,1
110,PAMANUKAN,PAMANUKAN,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:04,1
111,INDRAMAYU,INDRAMAYU,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:55:02,1
112,BANTEN,BANTEN,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:54:59,15
113,ANYER LOR,ANYER LOR,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:54:25,15
114,LABUAN,LABUAN,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:54:23,15
115,KARANGANTU,KARANGANTU,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:54:20,15
116,BOJONEGORO,BOJONEGORO,6,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-04 20:54:18,15
118,MENGGALA,MENGGALA,3,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-05-31 14:55:15,1
119,Kota Agung - Lampung,Kota Agung - Lampung,3,2,-5.49972220,104.62047222,1,0000-00-00 00:00:00,1,2016-05-14 15:48:32,15
120,MARINGGAI,MARINGGAI,3,2,-5.35863269,105.81975796,0,0000-00-00 00:00:00,1,2015-12-08 14:12:21,1
121,Mesuji - Lampung Timur,Mesuji - Lampung Timur,3,2,-4.08968800,105.65221000,1,0000-00-00 00:00:00,1,2017-04-25 14:11:33,15
122,Teluk Betung,Teluk Betung,3,5,-5.44689655,105.28660655,0,0000-00-00 00:00:00,1,2016-05-14 15:48:16,15
123,TANJUNG EMAS-SEMARANG,TANJUNG EMAS-SEMARANG,7,2,-6.94222665,110.42401313,0,0000-00-00 00:00:00,1,2015-10-04 15:55:18,1
124,TERMINAL PETI KEMAS SEMARANG,TERMINAL PETI KEMAS SEMARANG,7,2,-6.94482529,110.42982816,0,0000-00-00 00:00:00,1,2015-11-28 08:13:14,1
491,PP Logending,PP Logending,7,5,-7.72037100,109.39410700,0,2018-06-26 16:14:30,15,2018-08-05 18:08:45,15
126,Pekalongan,Pekalongan,7,2,-6.85409500,109.69335100,0,0000-00-00 00:00:00,1,2015-12-08 19:31:09,1
127,BREBES,BREBES,7,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-08 19:31:03,1
128,Jepara,Jepara,7,2,-6.59398119,110.64640618,1,0000-00-00 00:00:00,1,2015-11-28 09:30:13,15
129,Karimun Jawa,Karimun Jawa,7,2,-5.87947500,110.43251300,1,0000-00-00 00:00:00,1,2015-06-06 23:26:12,1
130,PPP Bajomulyo - Pati,PPP Bajomulyo - Pati,7,5,-6.70435900,111.15389100,0,0000-00-00 00:00:00,1,2018-04-08 17:57:00,15
131,REMBANG,REMBANG,7,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-08 19:28:57,1
132,BATANG,BATANG,7,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-08 19:28:25,1
136,PANGKALAN BUN,PANGKALAN BUN,7,2,0.00000000,0.00000000,0,0000-00-00 00:00:00,1,2015-12-01 18:16:50,15
142,Kumai,Kumai,7,2,-2.74519487,111.72436022,1,0000-00-00 00:00:00,1,2016-04-18 19:11:37,15
284,Manokwari - Papua Barat,Manokwari - Papua Barat,44,2,-0.87543200,134.07469200,0,0000-00-00 00:00:00,1,2015-12-22 00:22:55,15
